tau,Phenol_75 PINN,cb,Phenyl Acetate_75 PINN,cd
5.600000000000000533e-01,1.458154767751693726e-01,3.364262580871582031e-01,1.654106751084327698e-02,1.893553137779235840e-02
5.700000000000000622e-01,1.454633772373199463e-01,3.361180424690246582e-01,1.680798828601837158e-02,1.923883706331253052e-02
5.799999999999999600e-01,1.451125144958496094e-01,3.358110189437866211e-01,1.707393676042556763e-02,1.954105123877525330e-02
5.899999999999999689e-01,1.447628438472747803e-01,3.355050981044769287e-01,1.733889058232307434e-02,1.984223350882530212e-02
5.999999999999999778e-01,1.444143503904342651e-01,3.352002799510955811e-01,1.760290935635566711e-02,2.014239504933357239e-02
6.099999999999999867e-01,1.440668255090713501e-01,3.348966240882873535e-01,1.786595396697521210e-02,2.044142037630081177e-02
6.199999999999999956e-01,1.437206268310546875e-01,3.345940411090850830e-01,1.812811754643917084e-02,2.073944360017776489e-02
6.300000000000000044e-01,1.433755606412887573e-01,3.342925906181335449e-01,1.838938146829605103e-02,2.103643119335174561e-02
6.400000000000000133e-01,1.430316418409347534e-01,3.339922428131103516e-01,1.864973828196525574e-02,2.133237943053245544e-02
6.500000000000000222e-01,1.426889598369598389e-01,3.336930572986602783e-01,1.890920661389827728e-02,2.162726223468780518e-02
6.600000000000000311e-01,1.423474252223968506e-01,3.333949446678161621e-01,1.916777156293392181e-02,2.192117646336555481e-02
6.700000000000000400e-01,1.420071125030517578e-01,3.330979645252227783e-01,1.942546293139457703e-02,2.221397310495376587e-02
6.800000000000000488e-01,1.416681110858917236e-01,3.328019678592681885e-01,1.968230865895748138e-02,2.250589057803153992e-02
6.900000000000000577e-01,1.413302719593048096e-01,3.325071632862091064e-01,1.993837393820285797e-02,2.279673144221305847e-02
7.000000000000000666e-01,1.409935802221298218e-01,3.322134613990783691e-01,2.019356191158294678e-02,2.308655157685279846e-02
7.099999999999999645e-01,1.406581252813339233e-01,3.319208025932312012e-01,2.044793777167797089e-02,2.337537333369255066e-02
7.199999999999999734e-01,1.403240710496902466e-01,3.316291868686676025e-01,2.070150151848793030e-02,2.366334944963455200e-02
7.299999999999999822e-01,1.399910598993301392e-01,3.313386440277099609e-01,2.095431648194789886e-02,2.395020797848701477e-02
7.399999999999999911e-01,1.396593451499938965e-01,3.310492336750030518e-01,2.120631746947765350e-02,2.423603832721710205e-02
7.500000000000000000e-01,1.393289119005203247e-01,3.307607769966125488e-01,2.145754173398017883e-02,2.452101930975914001e-02
7.600000000000000089e-01,1.389996707439422607e-01,3.304734528064727783e-01,2.170803025364875793e-02,2.480499446392059326e-02
7.700000000000000178e-01,1.386717408895492554e-01,3.301871716976165771e-01,2.195771783590316772e-02,2.508801966905593872e-02
7.800000000000000266e-01,1.383449733257293701e-01,3.299018144607543945e-01,2.220679633319377899e-02,2.537005767226219177e-02
7.900000000000000355e-01,1.380195170640945435e-01,3.296176791191101074e-01,2.245503477752208710e-02,2.565118297934532166e-02
8.000000000000000444e-01,1.376953721046447754e-01,3.293344080448150635e-01,2.270254492759704590e-02,2.593138068914413452e-02
8.100000000000000533e-01,1.373723000288009644e-01,3.290522694587707520e-01,2.294946834444999695e-02,2.621052786707878113e-02
8.200000000000000622e-01,1.370506435632705688e-01,3.287710845470428467e-01,2.319556474685668945e-02,2.648887783288955688e-02
8.300000000000000711e-01,1.367302536964416504e-01,3.284909129142761230e-01,2.344109676778316498e-02,2.676622569561004639e-02
8.399999999999999689e-01,1.364111453294754028e-01,3.282117843627929688e-01,2.368587255477905273e-02,2.704262733459472656e-02
8.499999999999999778e-01,1.360932588577270508e-01,3.279335200786590576e-01,2.393003925681114197e-02,2.731828019022941589e-02
8.599999999999999867e-01,1.357766538858413696e-01,3.276562988758087158e-01,2.417353168129920959e-02,2.759290114045143127e-02
8.699999999999999956e-01,1.354612410068511963e-01,3.273801803588867188e-01,2.441637217998504639e-02,2.786660939455032349e-02
8.800000000000000044e-01,1.351471692323684692e-01,3.271048665046691895e-01,2.465859986841678619e-02,2.813946828246116638e-02
8.900000000000000133e-01,1.348343938589096069e-01,3.268305659294128418e-01,2.490013092756271362e-02,2.841142192482948303e-02
9.000000000000000222e-01,1.345228403806686401e-01,3.265573084354400635e-01,2.514114230871200562e-02,2.868242934346199036e-02
9.100000000000000311e-01,1.342125087976455688e-01,3.262849152088165283e-01,2.538148127496242523e-02,2.895268797874450684e-02
9.200000000000000400e-01,1.339035034179687500e-01,3.260133862495422363e-01,2.562125772237777710e-02,2.922202646732330322e-02
9.300000000000000488e-01,1.335957944393157959e-01,3.257429599761962891e-01,2.586037479341030121e-02,2.949044853448867798e-02
9.400000000000000577e-01,1.332893073558807373e-01,3.254733085632324219e-01,2.609893865883350372e-02,2.975808084011077881e-02
9.500000000000000666e-01,1.329840719699859619e-01,3.252045810222625732e-01,2.633699029684066772e-02,3.002481162548065186e-02
9.599999999999999645e-01,1.326800882816314697e-01,3.249369263648986816e-01,2.657442539930343628e-02,3.029072657227516174e-02
9.699999999999999734e-01,1.323774605989456177e-01,3.246700465679168701e-01,2.681133337318897247e-02,3.055573254823684692e-02
9.799999999999999822e-01,1.320760250091552734e-01,3.244040608406066895e-01,2.704762481153011322e-02,3.082000091671943665e-02
9.899999999999999911e-01,1.317758113145828247e-01,3.241389691829681396e-01,2.728340774774551392e-02,3.108336776494979858e-02
1.000000000000000000e+00,1.314768642187118530e-01,3.238748311996459961e-01,2.751865051686763763e-02,3.134584426879882812e-02
1.010000000000000009e+00,1.311791986227035522e-01,3.236114978790283203e-01,2.775335311889648438e-02,3.160761296749114990e-02
1.020000000000000018e+00,1.308828145265579224e-01,3.233490288257598877e-01,2.798758260905742645e-02,3.186855092644691467e-02
1.030000000000000027e+00,1.305875927209854126e-01,3.230874836444854736e-01,2.822126075625419617e-02,3.212865442037582397e-02
1.040000000000000036e+00,1.302937120199203491e-01,3.228266835212707520e-01,2.845435217022895813e-02,3.238793089985847473e-02
1.050000000000000044e+00,1.300009787082672119e-01,3.225667476654052734e-01,2.868710458278656006e-02,3.264642506837844849e-02
1.060000000000000053e+00,1.297095715999603271e-01,3.223077654838562012e-01,2.891926653683185577e-02,3.290408849716186523e-02
1.070000000000000062e+00,1.294192969799041748e-01,3.220495581626892090e-01,2.915094420313835144e-02,3.316099569201469421e-02
1.080000000000000071e+00,1.291303783655166626e-01,3.217921555042266846e-01,2.938209101557731628e-02,3.341717272996902466e-02
1.090000000000000080e+00,1.288425922393798828e-01,3.215355277061462402e-01,2.961285412311553955e-02,3.367247804999351501e-02
1.100000000000000089e+00,1.285559833049774170e-01,3.212797343730926514e-01,2.984306216239929199e-02,3.392701968550682068e-02
1.110000000000000098e+00,1.282706707715988159e-01,3.210247457027435303e-01,3.007281944155693054e-02,3.418077528476715088e-02
1.120000000000000107e+00,1.279865354299545288e-01,3.207705318927764893e-01,3.030212782323360443e-02,3.443383425474166870e-02
1.130000000000000115e+00,1.277036666870117188e-01,3.205171227455139160e-01,3.053097799420356750e-02,3.468612581491470337e-02
1.140000000000000124e+00,1.274219900369644165e-01,3.202645480632781982e-01,3.075937554240226746e-02,3.493760898709297180e-02
1.150000000000000133e+00,1.271414607763290405e-01,3.200127184391021729e-01,3.098728507757186890e-02,3.518833965063095093e-02
1.159999999999999920e+00,1.268622428178787231e-01,3.197616934776306152e-01,3.121479600667953491e-02,3.543833643198013306e-02
1.169999999999999929e+00,1.265840828418731689e-01,3.195113539695739746e-01,3.144187107682228088e-02,3.568765521049499512e-02
1.179999999999999938e+00,1.263071298599243164e-01,3.192617893218994141e-01,3.166846930980682373e-02,3.593613579869270325e-02
1.189999999999999947e+00,1.260314136743545532e-01,3.190129697322845459e-01,3.189469128847122192e-02,3.618396818637847900e-02
1.199999999999999956e+00,1.257567554712295532e-01,3.187648952007293701e-01,3.212048113346099854e-02,3.643101826310157776e-02
1.209999999999999964e+00,1.254834830760955811e-01,3.185175955295562744e-01,3.234574943780899048e-02,3.667733818292617798e-02
1.219999999999999973e+00,1.252112239599227905e-01,3.182709813117980957e-01,3.257065266370773315e-02,3.692297264933586121e-02
1.229999999999999982e+00,1.249402165412902832e-01,3.180251121520996094e-01,3.279514610767364502e-02,3.716788068413734436e-02
1.239999999999999991e+00,1.246702671051025391e-01,3.177799284458160400e-01,3.301931172609329224e-02,3.741205483675003052e-02
1.250000000000000000e+00,1.244015246629714966e-01,3.175355195999145508e-01,3.324295580387115479e-02,3.765553981065750122e-02
1.260000000000000009e+00,1.241339892148971558e-01,3.172917068004608154e-01,3.346627950668334961e-02,3.789835795760154724e-02
1.270000000000000018e+00,1.238676011562347412e-01,3.170487582683563232e-01,3.368917107582092285e-02,3.814045712351799011e-02
1.280000000000000027e+00,1.236021816730499268e-01,3.168063759803771973e-01,3.391163796186447144e-02,3.838180005550384521e-02
1.290000000000000036e+00,1.233380138874053955e-01,3.165647089481353760e-01,3.413373604416847229e-02,3.862249851226806641e-02
1.300000000000000044e+00,1.230749785900115967e-01,3.163236975669860840e-01,3.435542806982994080e-02,3.886252641677856445e-02
1.310000000000000053e+00,1.228130608797073364e-01,3.160834312438964844e-01,3.457665443420410156e-02,3.910188004374504089e-02
1.320000000000000062e+00,1.225522309541702271e-01,3.158437609672546387e-01,3.479757905006408691e-02,3.934056311845779419e-02
1.330000000000000071e+00,1.222925782203674316e-01,3.156049251556396484e-01,3.501806035637855530e-02,3.957852348685264587e-02
1.340000000000000080e+00,1.220338493585586548e-01,3.153664767742156982e-01,3.523824736475944519e-02,3.981587663292884827e-02
1.350000000000000089e+00,1.217763274908065796e-01,3.151289224624633789e-01,3.545795381069183350e-02,4.005247354507446289e-02
1.360000000000000098e+00,1.215199530124664307e-01,3.148919343948364258e-01,3.567731752991676331e-02,4.028850421309471130e-02
1.370000000000000107e+00,1.212645620107650757e-01,3.146555721759796143e-01,3.589631989598274231e-02,4.052380844950675964e-02
1.380000000000000115e+00,1.210103183984756470e-01,3.144198656082153320e-01,3.611492365598678589e-02,4.075847566127777100e-02
1.390000000000000124e+00,1.207571029663085938e-01,3.141848146915435791e-01,3.633322566747665405e-02,4.099251702427864075e-02
1.400000000000000133e+00,1.205050945281982422e-01,3.139503896236419678e-01,3.655104339122772217e-02,4.122588410973548889e-02
1.409999999999999920e+00,1.202538609504699707e-01,3.137165606021881104e-01,3.676860034465789795e-02,4.145857691764831543e-02
1.419999999999999929e+00,1.200039833784103394e-01,3.134834170341491699e-01,3.698570281267166138e-02,4.169068485498428345e-02
1.429999999999999938e+00,1.197549253702163696e-01,3.132508099079132080e-01,3.720242530107498169e-02,4.192213341593742371e-02
1.439999999999999947e+00,1.195069998502731323e-01,3.130188882350921631e-01,3.741879388689994812e-02,4.215291514992713928e-02
1.449999999999999956e+00,1.192601472139358521e-01,3.127875626087188721e-01,3.763485327363014221e-02,4.238314926624298096e-02
1.459999999999999964e+00,1.190141886472702026e-01,3.125568330287933350e-01,3.785050660371780396e-02,4.261269420385360718e-02
1.469999999999999973e+00,1.187694072723388672e-01,3.123267292976379395e-01,3.806583210825920105e-02,4.284159094095230103e-02
1.479999999999999982e+00,1.185255050659179688e-01,3.120971322059631348e-01,3.828069567680358887e-02,4.306996986269950867e-02
1.489999999999999991e+00,1.182827949523925781e-01,3.118681609630584717e-01,3.849532455205917358e-02,4.329761862754821777e-02
1.500000000000000000e+00,1.180409342050552368e-01,3.116398453712463379e-01,3.870949149131774902e-02,4.352476447820663452e-02
1.510000000000000009e+00,1.178001165390014648e-01,3.114120662212371826e-01,3.892339020967483521e-02,4.375124350190162659e-02
1.520000000000000018e+00,1.175602823495864868e-01,3.111849129199981689e-01,3.913680464029312134e-02,4.397709667682647705e-02
1.530000000000000027e+00,1.173214912414550781e-01,3.109583258628845215e-01,3.934993594884872437e-02,4.420237988233566284e-02
1.540000000000000036e+00,1.170836091041564941e-01,3.107322752475738525e-01,3.956268727779388428e-02,4.442710801959037781e-02
1.550000000000000044e+00,1.168465912342071533e-01,3.105068802833557129e-01,3.977511078119277954e-02,4.465101659297943115e-02
1.560000000000000053e+00,1.166107207536697388e-01,3.102819621562957764e-01,3.998715057969093323e-02,4.487453028559684753e-02
1.570000000000000062e+00,1.163757741451263428e-01,3.100576400756835938e-01,4.019878432154655457e-02,4.509744048118591309e-02
1.580000000000000071e+00,1.161417365074157715e-01,3.098338842391967773e-01,4.041014611721038818e-02,4.531970620155334473e-02
1.590000000000000080e+00,1.159085780382156372e-01,3.096107542514801025e-01,4.062110930681228638e-02,4.554142057895660400e-02
1.600000000000000089e+00,1.156764924526214600e-01,3.093881905078887939e-01,4.083169251680374146e-02,4.576245695352554321e-02
1.610000000000000098e+00,1.154453009366989136e-01,3.091660141944885254e-01,4.104194790124893188e-02,4.598306119441986084e-02
1.620000000000000107e+00,1.152149885892868042e-01,3.089444935321807861e-01,4.125181585550308228e-02,4.620300978422164917e-02
1.630000000000000115e+00,1.149856746196746826e-01,3.087235689163208008e-01,4.146129637956619263e-02,4.642237722873687744e-02
1.640000000000000124e+00,1.147571951150894165e-01,3.085030913352966309e-01,4.167056083679199219e-02,4.664116352796554565e-02
1.650000000000000133e+00,1.145297437906265259e-01,3.082832098007202148e-01,4.187934845685958862e-02,4.685939103364944458e-02
1.660000000000000142e+00,1.143030524253845215e-01,3.080638945102691650e-01,4.208786785602569580e-02,4.707705229520797729e-02
1.669999999999999929e+00,1.140773445367813110e-01,3.078450858592987061e-01,4.229595139622688293e-02,4.729413986206054688e-02
1.679999999999999938e+00,1.138525307178497314e-01,3.076267838478088379e-01,4.250366240739822388e-02,4.751069471240043640e-02
