time,CA_130 PINN,CB,CC_130 PINN,CD_130 PINN
2.740000000000000213e+00,3.269131779670715332e-01,1.333894968032836914e+00,1.624857038259506226e-01,2.084558829665184021e-03
2.750000000000000000e+00,3.264067173004150391e-01,1.333431601524353027e+00,1.630035042762756348e-01,2.095444127917289734e-03
2.760000000000000231e+00,3.259006440639495850e-01,1.332968831062316895e+00,1.635206043720245361e-01,2.106161788105964661e-03
2.770000000000000018e+00,3.253948390483856201e-01,1.332506775856018066e+00,1.640373468399047852e-01,2.117046155035495758e-03
2.780000000000000249e+00,3.248892426490783691e-01,1.332045555114746094e+00,1.645534634590148926e-01,2.127973362803459167e-03
2.790000000000000036e+00,3.243841826915740967e-01,1.331585288047790527e+00,1.650692224502563477e-01,2.139029093086719513e-03
2.800000000000000266e+00,3.238791525363922119e-01,1.331125617027282715e+00,1.655843853950500488e-01,2.150075510144233704e-03
2.810000000000000053e+00,3.233745694160461426e-01,1.330666661262512207e+00,1.660989075899124146e-01,2.161030657589435577e-03
2.819999999999999840e+00,3.228704333305358887e-01,1.330209016799926758e+00,1.666129529476165771e-01,2.172241918742656708e-03
2.830000000000000071e+00,3.223663866519927979e-01,1.329751610755920410e+00,1.671265512704849243e-01,2.183477394282817841e-03
2.839999999999999858e+00,3.218626677989959717e-01,1.329295158386230469e+00,1.676394939422607422e-01,2.194781787693500519e-03
2.850000000000000089e+00,3.213593363761901855e-01,1.328839778900146484e+00,1.681518107652664185e-01,2.205994911491870880e-03
2.859999999999999876e+00,3.208563029766082764e-01,1.328384995460510254e+00,1.686636507511138916e-01,2.217380329966545105e-03
2.870000000000000107e+00,3.203535974025726318e-01,1.327930927276611328e+00,1.691748499870300293e-01,2.228761091828346252e-03
2.879999999999999893e+00,3.198511898517608643e-01,1.327477574348449707e+00,1.696855872869491577e-01,2.240221016108989716e-03
2.890000000000000124e+00,3.193492293357849121e-01,1.327025651931762695e+00,1.701955795288085938e-01,2.251726575195789337e-03
2.899999999999999911e+00,3.188475072383880615e-01,1.326573967933654785e+00,1.707051098346710205e-01,2.263255417346954346e-03
2.910000000000000142e+00,3.183460831642150879e-01,1.326122999191284180e+00,1.712139844894409180e-01,2.274867147207260132e-03
2.919999999999999929e+00,3.178451061248779297e-01,1.325673103332519531e+00,1.717222034931182861e-01,2.286501228809356689e-03
2.930000000000000160e+00,3.173442184925079346e-01,1.325223803520202637e+00,1.722298860549926758e-01,2.298074774444103241e-03
2.939999999999999947e+00,3.168438374996185303e-01,1.324775576591491699e+00,1.727369278669357300e-01,2.309904433786869049e-03
2.950000000000000178e+00,3.163438141345977783e-01,1.324328184127807617e+00,1.732432544231414795e-01,2.321473322808742523e-03
2.959999999999999964e+00,3.158441185951232910e-01,1.323881268501281738e+00,1.737491190433502197e-01,2.333405427634716034e-03
2.970000000000000195e+00,3.153446912765502930e-01,1.323435306549072266e+00,1.742542684078216553e-01,2.345218323171138763e-03
2.979999999999999982e+00,3.148458302021026611e-01,1.322990298271179199e+00,1.747586578130722046e-01,2.357194200158119202e-03
