tau,Phenol_75 PINN,cb,Phenyl Acetate_75 PINN,cd
8.300000000000000711e-01,1.370646357536315918e-01,3.284920752048492432e-01,2.332555502653121948e-02,2.636601775884628296e-02
8.399999999999999689e-01,1.367446780204772949e-01,3.282193541526794434e-01,2.357097156345844269e-02,2.664564549922943115e-02
8.499999999999999778e-01,1.364257186651229858e-01,3.279478549957275391e-01,2.381600998342037201e-02,2.692456543445587158e-02
8.599999999999999867e-01,1.361076384782791138e-01,3.276775181293487549e-01,2.406075038015842438e-02,2.720264345407485962e-02
8.699999999999999956e-01,1.357905417680740356e-01,3.274083733558654785e-01,2.430513687431812286e-02,2.748008072376251221e-02
8.800000000000000044e-01,1.354745775461196899e-01,3.271405994892120361e-01,2.454909868538379669e-02,2.775663882493972778e-02
8.900000000000000133e-01,1.351593881845474243e-01,3.268738687038421631e-01,2.479281462728977203e-02,2.803248912096023560e-02
9.000000000000000222e-01,1.348452866077423096e-01,3.266083002090454102e-01,2.503618039190769196e-02,2.830754965543746948e-02
9.100000000000000311e-01,1.345320940017700195e-01,3.263438045978546143e-01,2.527925185859203339e-02,2.858188748359680176e-02
9.200000000000000400e-01,1.342198103666305542e-01,3.260805308818817139e-01,2.552204392850399017e-02,2.885544300079345703e-02
9.300000000000000488e-01,1.339086741209030151e-01,3.258183002471923828e-01,2.576440386474132538e-02,2.912816405296325684e-02
9.400000000000000577e-01,1.335983723402023315e-01,3.255569040775299072e-01,2.600661478936672211e-02,2.940004318952560425e-02
9.500000000000000666e-01,1.332892030477523804e-01,3.252969384193420410e-01,2.624830417335033417e-02,2.967136353254318237e-02
9.599999999999999645e-01,1.329809725284576416e-01,3.250378668308258057e-01,2.648997493088245392e-02,2.994182705879211426e-02
9.699999999999999734e-01,1.326735615730285645e-01,3.247797489166259766e-01,2.673122100532054901e-02,3.021145612001419067e-02
9.799999999999999822e-01,1.323672533035278320e-01,3.245226442813873291e-01,2.697224356234073639e-02,3.048036247491836548e-02
9.899999999999999911e-01,1.320620179176330566e-01,3.242666125297546387e-01,2.721281908452510834e-02,3.074844926595687866e-02
1.000000000000000000e+00,1.317578107118606567e-01,3.240114748477935791e-01,2.745331637561321259e-02,3.101592510938644409e-02
1.010000000000000009e+00,1.314543783664703369e-01,3.237573206424713135e-01,2.769344486296176910e-02,3.128248453140258789e-02
1.020000000000000018e+00,1.311520189046859741e-01,3.235040605068206787e-01,2.793343178927898407e-02,3.154826909303665161e-02
1.030000000000000027e+00,1.308507323265075684e-01,3.232518136501312256e-01,2.817296050488948822e-02,3.181333839893341064e-02
1.040000000000000036e+00,1.305503994226455688e-01,3.230002224445343018e-01,2.841229923069477081e-02,3.207753598690032959e-02
1.050000000000000044e+00,1.302511394023895264e-01,3.227497041225433350e-01,2.865136228501796722e-02,3.234107792377471924e-02
1.060000000000000053e+00,1.299528628587722778e-01,3.224999606609344482e-01,2.889020927250385284e-02,3.260378539562225342e-02
1.070000000000000062e+00,1.296556144952774048e-01,3.222511708736419678e-01,2.912863157689571381e-02,3.286571800708770752e-02
1.080000000000000071e+00,1.293591856956481934e-01,3.220030963420867920e-01,2.936688251793384552e-02,3.312686085700988770e-02
1.090000000000000080e+00,1.290640532970428467e-01,3.217559158802032471e-01,2.960503287613391876e-02,3.338731825351715088e-02
1.100000000000000089e+00,1.287697851657867432e-01,3.215094804763793945e-01,2.984276227653026581e-02,3.364692628383636475e-02
1.110000000000000098e+00,1.284765154123306274e-01,3.212639391422271729e-01,3.008029051125049591e-02,3.390578180551528931e-02
1.120000000000000107e+00,1.281844079494476318e-01,3.210190832614898682e-01,3.031734190881252289e-02,3.416381776332855225e-02
1.130000000000000115e+00,1.278931349515914917e-01,3.207750022411346436e-01,3.055425547063350677e-02,3.442110121250152588e-02
1.140000000000000124e+00,1.276030689477920532e-01,3.205316662788391113e-01,3.079097159206867218e-02,3.467760980129241943e-02
1.150000000000000133e+00,1.273138225078582764e-01,3.202889263629913330e-01,3.102730773389339447e-02,3.493331372737884521e-02
1.159999999999999920e+00,1.270257681608200073e-01,3.200471103191375732e-01,3.126350045204162598e-02,3.518830239772796631e-02
