tau,Phenol_65 PINN,cb,Phenyl Acetate_65 PINN,cd
3.900000000000000133e-01,1.573291569948196411e-01,3.486730158329010010e-01,4.486064892262220383e-03,6.618082523345947266e-03
4.000000000000000222e-01,1.570888608694076538e-01,3.485089540481567383e-01,4.589039366692304611e-03,6.726294755935668945e-03
4.100000000000000311e-01,1.570053100585937500e-01,3.482989072799682617e-01,4.815222229808568954e-03,6.940677762031555176e-03
4.199999999999999845e-01,1.567039787769317627e-01,3.481771647930145264e-01,4.956307355314493179e-03,7.019944489002227783e-03
4.299999999999999933e-01,1.564410626888275146e-01,3.479122817516326904e-01,5.172004457563161850e-03,7.145285606384277344e-03
4.400000000000000022e-01,1.562502086162567139e-01,3.478154540061950684e-01,5.037633236497640610e-03,7.322922348976135254e-03
4.500000000000000111e-01,1.561069637537002563e-01,3.475079238414764404e-01,5.313390400260686874e-03,7.504113018512725830e-03
4.600000000000000200e-01,1.557409018278121948e-01,3.474794924259185791e-01,5.318337585777044296e-03,7.569320499897003174e-03
4.700000000000000289e-01,1.556848436594009399e-01,3.472907841205596924e-01,5.598969291895627975e-03,7.796853780746459961e-03
4.799999999999999822e-01,1.552987396717071533e-01,3.469934761524200439e-01,5.686435382813215256e-03,7.937476038932800293e-03
4.899999999999999911e-01,1.551539748907089233e-01,3.468689620494842529e-01,5.931488703936338425e-03,8.027628064155578613e-03
5.000000000000000000e-01,1.548093110322952271e-01,3.465822041034698486e-01,5.998556036502122879e-03,8.090458810329437256e-03
5.100000000000000089e-01,1.547140181064605713e-01,3.465030789375305176e-01,6.212946493178606033e-03,8.292481303215026855e-03
5.200000000000000178e-01,1.544440835714340210e-01,3.463872075080871582e-01,6.075003650039434433e-03,8.430860936641693115e-03
5.300000000000000266e-01,1.541758328676223755e-01,3.460578918457031250e-01,6.183163728564977646e-03,8.542753756046295166e-03
5.400000000000000355e-01,1.540408432483673096e-01,3.458650112152099609e-01,6.347637157887220383e-03,8.725009858608245850e-03
5.500000000000000444e-01,1.537344455718994141e-01,3.455905318260192871e-01,6.538663525134325027e-03,8.819065988063812256e-03
5.600000000000000533e-01,1.536510288715362549e-01,3.454232811927795410e-01,6.598948035389184952e-03,9.023092687129974365e-03
5.700000000000000622e-01,1.533441692590713501e-01,3.452247977256774902e-01,6.801302079111337662e-03,9.181313216686248779e-03
5.799999999999999600e-01,1.531186550855636597e-01,3.451065719127655029e-01,6.792741362005472183e-03,9.172469377517700195e-03
5.899999999999999689e-01,1.528528481721878052e-01,3.449331820011138916e-01,7.164543960243463516e-03,9.322725236415863037e-03
5.999999999999999778e-01,1.525039225816726685e-01,3.445950448513031006e-01,7.129567209631204605e-03,9.419053792953491211e-03
6.099999999999999867e-01,1.523761302232742310e-01,3.444658517837524414e-01,7.272221613675355911e-03,9.571120142936706543e-03
6.199999999999999956e-01,1.522978693246841431e-01,3.442490994930267334e-01,7.397687528282403946e-03,9.812019765377044678e-03
6.300000000000000044e-01,1.518282741308212280e-01,3.438860177993774414e-01,7.539669517427682877e-03,9.851135313510894775e-03
6.400000000000000133e-01,1.517984569072723389e-01,3.439290225505828857e-01,7.742726709693670273e-03,9.962432086467742920e-03
6.500000000000000222e-01,1.515503674745559692e-01,3.439042270183563232e-01,7.794259581714868546e-03,1.019738614559173584e-02
6.600000000000000311e-01,1.513230353593826294e-01,3.435560464859008789e-01,7.790073286741971970e-03,1.024566590785980225e-02
6.700000000000000400e-01,1.511071771383285522e-01,3.434759974479675293e-01,8.088069036602973938e-03,1.024799048900604248e-02
